Text,Sentiment
is garbage I m explaining why CON I m totally aware that this will be probably the most post in the history of this sub But I don t care is the most coin on I am the unlucky one and took the bait and bought because of the shill I did the research and on paper everything great Fast secure reliable I have read a lot of read and bought But now after half a year of holding I have to say that it s really bad And I tell you why Keep in mind that I m talking about the WHOLE ECOSYSTEM and not itself like currently there are or This is a joke Younger have of them but in ecosystem there are or and they are working really bad more about this in the next The chain being young is not an excuse because other have much more cool and are machine so the adoption will be always and working like Many of those rely on a single source of truth that is It constant and because of that like works like and was horrible There t a single day without any Official wallet Sometimes is not working Or not working correctly It s too on and is No for running own node Yesterday the only was and hacked and all liquidity are gone Horrible marketing No clear for Unfulfilled example about increasing A lot small like poor t look professional and poor communication with Foundation The community on is so toxic and blind If the price is increasing they are posting and yelling how awesome is and the pump is incoming When it s down they claim that it s just because of You get it UP it s because is awesome down because of They hate every other chain because only is the best Poor price action to other scalable some of you may disagree with some but most of them are Please research about the recent Hack and Edit Thanks for all,-1
t going away Never had with it and a fixed transaction fee that s absolutely tiny is useful,1
I bought at k and k If it to k I m other bag I m just glad I m finally getting a nice bag of It s about time,1
So you re telling me for the next two we re slowly going to receive Luna from you We re supposed to trust you with this for two,-1
I have a friend in who made a lot of money To this date still t own a home Reason why and this is a quote I want to have my money when I need it one click of a button you have your cash A house can be more difficult to sell Even when are high it can to sell a house I think a month is great to get into You will learn the and odds are will cross k in the next bull run following the If you can stack your looking at k off of k depending on what are in the current bear market We might see sub k soon,1
Seriously I feel like I m taking crazy here but how is this not apparent to everyone And before come out of the woodwork and say that I don t understand I read the original maybe a year or so after it came out and have kept reasonably well informed on stuff since then Early days was kind of interesting but it pretty quickly apparent that it could never function as a consumer currency If to process even of the that does in a day it would take to verify a transaction So if it can t be used a a currency is it People pointing out that gold is largely worthless except as an agreed store of value so they said well can t be that No of course it can t Gold physical substance and the backing of nation it s value is by legal and social Yeah all money is fake but is the of all At the end of the day all is worthless until you can find someone to trade you actual fiat currency for it because it can t be used to buy anything That that all is just a scam it works as long as the next idiot comes along to hold the bag Fundamentally it is no different from the comic book that almost the industry in the speculative bubble of the s except there s a level of exposure the size of a small western country No party forever every bubble time is a flat circle,-1
It always comes back,1
Another arrogant prick with an algorithmic It s failure is inevitable,-1
With room to drop further too,-1
Well even the can say they have experienced a crash now That that don t kill ya can only make you But like the last one and before that it will find its way back Hold relax enjoy life and buy more when you can is my philosophy,1
It s perfect morning to shop buy the dip,1
it s clear it s more stable than those stocks Not the stock market as a whole This is a worthless cherry picked analysis,1
is going to do great this year,1
No Only support Donkey Kwan,-1
I think the entire industry is a dangerous destructive scam run by for the benefit of at the cost of other Believe me I m nothing the idea is laughable But anyone who false advertising is a reasonable way to pursue remedy against anyone here is out of their gourd,-1
I m immediately out every red cent as soon as I can The fact that he s doing this and not fully his is enough to lose confidence The fact that confidence is enough to lose confidence It s a con,-1
It there will be more daily volume which more daily active which more positive price action in the long run,1
there is only one wise answer,1
a relatively stable price is a good thing it it a better currency than most other,1
I got fro to this sub You know you have a sound investment when you have to frantically ban and silence anyone that is even remotely negative of it meanwhile constantly to find new or you lose money,-1
Unpopular opinion criticism topic PERSPECTIVE suck but aint much better speculative and unstable Just as much as there is on Leverage longs market manipulation and what not People gambling with their money Your arn t really safe what do you want to do implement a chip in your arm What if the chip Keep it digitally somewhere Dig a hole in the ground Most people keep it on anyway What if you die it won t go to your It with your mental and emotional state too because of the unstable nature of it One day you think you have money the next day is gone People who buy early are just taking other investment when they sell Call it pyramid The space is flooding with annoying shilling shouting and and what not and the are highly energy inefficient Yes but look at the regular financial energy use you will say blah blah this is like saying u can dump your plastic in the river because there s a plastic soup already in the ocean Yes here and there they use solar well why not use them for more as they are costly to make Yes but proof of stake you will say yes it s being kept in the air by people that are again gambling with their money All these company s can t they just build stuff without of people throwing their money at them they will get rich are cool in their way but all the speculation on top of it While everyone is shouting at digital society remains a are low for most people housing are still going through the roof won t safe us Wealthy people will get more wealthy at the cost of and some might get lucky the lucky few who are in it early and take other money when they finally cash out Sorry for the rant but this is kind of how I m starting to feel about the whole thing,-1
This made me buy,1
This is great news for those who truly understand however for those who don t get it I expect them to laugh at me It is all good because I am not worried one bit at all I have no respect for volatility and I love FUD These are great times to buy more and Very simple no brain all stomach and I will wait it out with ease Bring on more bad news bring on more blood bring on more negative sentiment Nothing fundamentally about and,1
This is the most useful advice on here Just telling me to buy it I d have ended up out at,1
This is wrong Not only can engage in proven that this can also be a collective of people and pushing the price only for their profit in can only gain by the loss of,-1
You are correct people say is too expensive it s too late They are wrong In is at million per,1
scheme that people s time and electricity,-1
Basically how the Sure Luna had a decent ecosystem but the arrogance of the founder coupled with several just make this an investment red flag,-1
Stop supporting this garbage,-1
People trash on but I think it is here for the long term and beyond,1
all trade close to each other now its actually,-1
Same here Used to throw of my into from No one that I went from k to my name to k in at the all time high You dont need to believe in math it just works people Anyway I quit my job in and I wish you can soon as well,1
So many Hard to covert money back to fiat Relentless junk and fake stupid and the space So many So many pump and Use mostly Great community mostly and in my opinion on those who seek a community to be involved with whilst unknowingly their pants down Horrendous to do literally anything with Still so complicated to deal with and of accidentally losing your money diamond Market manipulation just like the stock market Unregulated if that s even really true is that so great See above re fiat remains by far easier and more secure And last but not least just losing money unless you re lucky to have been ACTUALLY early you are no longer early or strike on a pump and dump early and get out at the right time I am willing to hold until I break even and I am then getting the hell out if I can even get my sodding money somewhere I can use it after paying the tax man handsomely of course,-1
This is excellent news for,1
That s why I don t buy Waste of to feed the gas,-1
thats and even more than the in the last no real material behind only gold can help in a crash but not,-1
I m super bullish on dot My best hold Love the team love the tech and the ecosystem is growing at a nice pace For instance I been with parallel finance lately and I really like it I think we re going to see great from in the future Good luck to all dot out there,1
The you to transfer information all around the world you to transfer money all around the world Both are amazing and revolutionary,1
size time in market largess in number of devoted quantity of use and large infrastructure number of with in use code developer marketing brand recognition percentage of market aggressive and current development a few head start devoted coin of side and side the Elephant in the room With a large pasture It is good because many are and have a lot while much is coming Thanks for your post You just got me to evaluate buy more,1
At this point all in on,1
Whatever the case I m still bullish i to be a part of when it first off I d have been a millionaire if i did I m not making that mistake again At this point I m converting other like to some more,1
GO,1
is good and not just because it the first mover advantage It to sustain a community of other built around it which is actually genius Sure the gas are a pain and L might actually be accomplished way down the line but this t negate its ability progress or how good a project it really is To be nd to is no small fit if it were and Ripple will be where it is today My advise stack as much as you can the market is wobbly now for sure but guess what it s still early days and it is you who that s the beneficiary of that first advantage being At r we share a lot of about the and how you can stack Ether Learn and Stack as much as you can while you can,1
Polygon is low no cost All good in my,1
A lot of these have about the substance of it all on black in the casino anyway,-1
Man this will simply increase the price of and we should be ready with the real good amount of in our we all need that kind of a price boost,1
is just negative energy It never produce a dividend I don t think it s a safe heaven If the dollar I want an asset that t require an connection Retail with stimulus stack stack gold I see as an amazing service but it s not an asset is valuable because of its shipping not because an envelope is worth k If I want to use to transfer I d just buy worth and transfer it I just don t see the value in it,-1
is a hedge against bank its literally in the block is a hedge against the entire financial system from central to commercial of people will not buy to hedge run away inflation But of people will buy when their bank their credit card working and their grocery store lightning,1
I don t have the money to invest in it but I do think longevity,1
good time to accumulate,1
All of it is a scam like that are always false of will be worth zero soon,-1
Well we all will see something good related to price and security if that we all will be so good with that I am glad that I am for the good future,1
and are hot right now finance is what I m following progress for Bunch of going on but they don t require smart also interesting through stake Check the if you feel like browsing,1
It is the need for digital cash and the potential loss of control of the global reserve currency Either gold or will become the global reserve currency in such a situation the warning of it happening been there since a bit of and some gold is just good risk management in case that Plan for the worst and hope for the best is my motto if you would rather plan for the best and hope for the best then good luck to you if turn to,1
It s a store of value and a hedge Big trade it like the stock market so that s why it goes up and down with the other It s still early it a long time for these to come to fruition as people are so resistant to change,1
Half a penny baby let s go I want the new c corvette baby,1
Not even worried I make that money back within a month,1
is going to win Traditional finance is obsolete Hey let s only trade during business Hey I can move this without permission,1
of is essentially gambling don t yourself that you might not be a bag holder sometime in the future That being said Luna its own particular of the grift and red were definitely there,-1
The network is than ever before Price will follow soon,1
Still think it all love this coin,1
Bought CRO for the first time it next day the whole market goes down Learned my lesson,-1
I think is great,1
The pump before the dump,-1
Honestly it shouldnt be in the top yet,-1
Which is so sad A lot of people will probably hold worthless of Luna by the time the price,-1
I think had enough of advice from this sub LUNA was nail in the coffin,-1
that is an,-1
I d say DOT is a worthy investment as well,1
should be in everyone s Portfolio,1
For me been one of the of all time,1
is true is also the only true mechanism humanity ever,1
being vague about its purpose been its biggest problem Originally just meant to be a cash system Then it a store of value digital gold a hedge against inflation Now people are trying to think of ways to attach or use it for other ks Mortgage assets ID verification I just want a digital currency that people spend Not some capitalist religious icon,-1
the time to BUY,1
If demand for goes up it logically fiat more and maybe one day its global reserve,1
Yes It is both actually good with a ton of built on top of its and it first mover advantage being the only player who smart contract functionality for a while It of course its and because it s had to adapt on the go think and the who still buy it but I t call it weak by any Even with its stupidly expensive gas it s a solid solution,1
Like we have seen in the past couple of days it by big the out of it And I fear this is not the last time,-1
is many It s more to the function of gold in relation to gold being the foundation and beginning of Fiat Fiat was because it was easier to transact with than literally gold Gold a denominator of the value of fiat The problem is that through corruption and human error there is no longer any way to verify the supply of fiat and gold printing fiat and gold with other and bad bookkeeping Then there s Imagine the same story but instead of gold fiat being backed by A verifiable limited infinitely divisible asset that is through proof of work like gold is also easier to transact with directly to literal gold This is why people consider it as a possible currency If the gold fiat supply was then you also t transact with your precious gold That s what fiat is for Same with Hold spend fiat Truth is is many Store of value digital energy because unusable electricity can be used to mine medium currency a collectible because it s limited and supply lower somebody their wallet gold fiat Its more scarce than gold easy to transfer across the world non corruptible verifiable It s an alternative to our current Fiat gold standard and the only missing component is adoption,1
Stay away from LUNA Scam,-1
I hate because of its DISCUSSION I had nothing against To be honest I it because it was the most popular coin these last and the community really cool until Musk to talk about it at least that s why I think it so annoying EVERY POST in some not even it especially by Musk there are these people dumb about this doggy coin One of the most famous I is Just take a look at his history and you will understand what I m saying and he is just one of them I m of because of these people How can your life be by convincing people all the time that there s a out there that is worth paying for Edit Yeah hate is a strong word I don t hate it but I m sick of reading everywhere,-1
the will fail in the next Since they understand how frail our current monetary system is it s madness they can t see the value utility of,1
If going long term and are the to buy,1
His first company ticket monster was a major flop which was the critical reason why I never touched that dog,-1
I have never Now I am more,1
only potential scam big enough to demolish all of,-1
Just bought another,1
Not to mention the trinity keeping each other in check Something don t have only the,1
If going long term and are the to buy,1
or how about this was a bad investment because all operate as if they are,-1
STEP all these are obvious so their days are And I hope this moon thing it to an unbearable level,-1
I just with it but it great so far I also love the idea of getting their coin before it s listed anywhere I believe it can do great,1
Doge will go back up again soon,1
will be the biggest letdown in history,-1
This is It s a wild ride No no only Doge Just,1
you got caught up in the news narrative is a lot better then a ton of other for the environment that they don t attack,1
It s not just there s a ton of built on it and they all suffer from crazy,-1
Take note that you are for financial advice and none of us are If you follow any advice is your decision at the end of the day and is always a good bet I like and ONE too,1
Price wise I think it s a good time to get into Good luck,1
Buy now thank later,1
It s going on sale I m get so fat on that when I sell it people are going to call me a whale,1
The problem though is a lot of people don t think are than stocks I see so much rhetoric about how and similar is only going to go up and easily x over the coming It unfortunately to be the less informed educated about that have just seen the on they see this as their ticket to riches and you will be kicking yourself in time if you don t take advantage now If you try and speak to them rationally to think through what they are saying they just shout that it s FUD and ignore it Most are net negative the only value in them is what people put in minus the the people running the dev selling excess are taking out so it s impossible for every investor to get back the money they put in There will always be someone left holding the bag,-1
are you talking about Those volatile stocks were among the market cap They were the of the pandemic like Meta t your random They are in the S P and used to hold major in your common These t some random When you look at the once top that is not cherry The people who are in are the same doing leverage in stocks I don t understand why people want to single out A lot of volatility comes from trading The same are driving the dump in both asset classes Why deny that,1
That s literally what is A,-1
Still bullish on canary chain also,1
was unlocked for This dude is again,-1
Easy one down times this year been down Other crash under a fraction of volume Is perfect no but the best So far yes,1
Come on now nobody could have known a scheme where someone give me your and I give you a magic bean that a year t go on forever,-1
You just a pyramid scheme,-1
You know that for every sale there s a buyer right Buy the fear sell the greed I wish I could out the way I in,1
If you think s less volatile than cash you re delusional,-1
The were so irresponsible to list these Luna should been to die,-1
Doge to,1
is only reason I don t care if price Just getting more for less I take it,1
Huge pump is,1
Solid starting place,1
I m holding I predict by,1
Now s a good time to start following the news reflecting on what happen and how we got here and learning about how could be better If your and align then ye slowly at is a very good idea,1
This is why I m bullish on Even if L won t be built they still rely on it as an L for both its infrastructure and security I don t think going anywhere soon,1
If they re at the very least start swapping your passive for At the very very least But realistically all lead to it s only a matter of time,1
No Why you ask Do stole k and all his retail to lose all their money Then he community for burn and a new coin And you re going to buy that,-1
Grab it while it s on sale that s me thinking,1
No other chain is as distributed and as This is what it does best,1
I never restake anything with fixed lesson learned,-1
it is inevitable and now it is the best time to buy more,1
Everyone who ever would in Doge already done so There s no longer any bigger left who will buy a useless currency It s going down to Trust me,-1
At this pace he will own of the and they will worth nothing,-1
is one of the and with some of the now If I want to send money from to my friend in by it is and day If I send it s and,1
Low cost liquidity no physical storage risk easily The biggest benefit interest at,1
I like the original digital gold you know,1
are usually when it So while it we shop,1
and most active community of and that the most You can have the best tech in the world and it will be worthless if there are no it,1
If Avalanche can continue to build and bring on they will remain in the the top for a while They have a very smart team and I think they will continue to do very well,1
It will go to M for sure So now is the best time to invest in Don t miss it we are all still early,1
is very high risk investment and I t it to anybody There is of for sole purpose of who will pump it and or people will just cash out leaving everybody else in the loss There is no reason at all for going up but plenty of to get burned,-1
Technologically best is not a great standard Whatever you identify as best tech can just be literally copied or forked and the new chain with track record is equally technically good said that best for what There are different that have some feature that them from the rest and if that feature is the standard they d be the best Should everybody abandon whatever the top is every time a new project comes out that is better is good It was the first to do what it does a large number of qualified and lots of As you say faster are now out there but what s that to all the built on There s a lot of inertia and human effort tied up in smart And what if another new generation comes out next year even faster Or should we go with Ls Or cross compatible with other Or focus on In the end value a lot to do with being first It a track record Millions have found it reliable have had at it Legal have it Any clone a lesser track record People are more to trust such a than something shiny and new where they d have to research the and inflation and and see if there are any new that snuck into the code for money and for do pretty good against the basic for money or People like what everybody Other may end up and but have tried and it won t be simply because something with better tech speed came along,1
Gas are too high to make it worth,-1
this crash revealed algorithm does not work When LUNA crash like that should at least drop at certain level Did the team use a single for backing up It s a joke,-1
The record we t need,-1
What s worse is that t the first post on how to make a coin It s like the third or fourth and the coin creation prior also,-1
This is probably a more popular opinion but is criminally and not spoken about enough,1
of are,-1
If you buy luna you deserve to be in financial ruin These are pure,-1
is an absolute piece of Slow outdated technology,-1
You can use it as actual currency a hell of a lot more now than you could then,1
Should recover after zero since there will be a recovery plan in place soon,1
You think a few out with CRO It s still early,1
Every is a scam You re not You re a victim,-1
It s going to dump you smooth brain,-1
Every coin outside of and was solely to make its rich Why would this one be any different,-1
Time to get more,1
I hate this garbage I made a post about paying anyone btc for convincing me about usefulness Lo an behold I have come to that the I had for past few are actually not there Imagine my surprise I loaded into my wallet a few ago just because why not Well it was only because I lost it My wallet is stuck on whatever that and I cant do anything XvNF Never a bank just lost my money like that is the biggest scam in the universe Get out of it while you still can UPDATE so me how to fix my crap and as I sent him btc as well as my answer from previous post not being convinced So to whoever said I wasnt going to pay up I forgive you ALSO this experience only my distrust of I almost TEN to transfer like THATS A FEE How the hell can anyone advocate for a service that more than private lender for interest Yea I get it you can anonymously send money anywhere instantly but apart from this dumb on I cant fathom any reason or use for this especially not a store of value All civil and polite are,-1
Well he s an idiot is going to keep going down as the dollar goes up this time next year it be at k a coin,-1
I hope you are all at these,1
It s really sad that you can only see a coin that you do not have the right to out for two,-1
They tax real estate Upkeep is the absolute best way to store money ever Nothing will ever outperform it long term,1
People don t want to accept that is a seriously risky and speculative asset one of the most speculative because there is absolutely metrics that set a floor on the price there are no revenue there is no there are no or or that have a hard value There is nothing to weigh and look at to say Holy this is very right now i should buy the only thing up is And all this money is coming out of the same bucket because t a closed loop meaning you don t get in and transact in directly you have to buy it with fiat and when you buy something with it the vendor then to exchange it back to fiat for it to have any real use for them because its not a medium of exchange the very edge of the margin As the economy worse and keep going up people simply have less money so you are going to have a lot more than willing to put their fiat into the of assets when they have to pay more for food and gas and might lose their job soon This is what every downturn people flee risky speculative assets Its going to get worse we haven t really seen any yet but it s going to happen is really going to take a when that because again all the money is coming from the same bucket My point is that will never from the financial that s a complete pipe dream,-1
Just look at It s not even speculation that the dev team are it s been PROVEN through their code and yet these people cling to the hope of getting rich are just mostly stupid,-1
If t have the algorithmic then it s literally completely useless and you d have to be a moron to buy some You are aware that the algorithmic is of the value proposal of,-1
Anybody who again from this coin is dumb Literally they t got my trust,-1
Remember when the price never after he did this,-1
It a huge amount of and in use everywhere,1
buy the dip still,1
Good that is The consumption and waste that is produced along side with it is immense Apart from no use at all,-1
Not a store of value Not a currency Not a hedge against money printer What is it I just want to understand current understanding aside from effort scam but truly i am at loss to understand and explain what function does solve or is because Its also carbon negative toxic because coal mines are now running some mining and that positively awful and very much like is digital cigarette blowing to plebs while easy cheap energy become stronghold for even more authoritarian Russia So what do you think is the point of aside from speculative bubble It like elaborate tulip mania the longer we dont answer them,-1
I believe my opinion on can be summed up most effectively with a simple no,-1
The funny thing is that people have already added more liquidity You can see on Explorer that have already put some money in to your coin unless those are other you re associated with Which is to say case in point People will buy even if it s very clearly on the and very much like,-1
The lower it goes the more I buy,1
Do and his version,-1
to be honest that extremely unrealistic steadily lost the past few I would be very very if they could reverse this trend,-1
The entire space is just full of,-1
A lot actually There s of now and they re all competitive with each other Most do more or less the same thing with a different name That s a huge dilution of the customer pool On top of that given that there are sports after and multiple Super Bowl it s likely that nearly every possible customer so I t expect much future growth of the And the vast majority of are looking for investment which have not been good lately That s not great for customer retention On top of that running the and ad are an enormous ongoing cost that need to cover in perpetuity Without some huge growth in the user base it s hard to imagine will get better from here,-1
In bear market is where money is made I Will continue to to the assets i believe,1
works really well for exchange,1
Bullish on big coming into,1
I will never give up in again I will be grateful for the boring down times going forward,1
I think it s smart to hold both If you are still at the moment I guess cosmos is the smart buy since it recently got by luna ust and already had a lower market cap than dot Not financial advice despite to be exactly that,1
I t sell Luna my worth now,-1
Yes that s why prey on mostly poor financially illiterate people,-1
Honestly after reading this post and many of the I have to conclude most of the space is totally The of been entirely lost of arrive on island and instead of in the freedom do everything they can to plan their way to get back off of the island,-1
It always works so that s good,1
I used to despise Cash now I don t and actually see the value in it This is why POLITICS I used to think that Cash was a traitor and to be at all I thought how can anyone trust an ecosystem if the coin that everyone and in up being Why would anyone invest in this space if King is no more These were my in up until just the other day Now I have come to that is not just a copy and paste clone of Every single holder on the planet received an equal amount of Cash because it was a forked from This that even if Cash the that have no one to blame but themselves if they don t own an equal portion of Cash it was given to them for free I guess the more and more I have thought about it Cash is because it the same previous transaction history and literally everyone holding received an equal amount of Cash this was no money grab may or may not scale with its small We should be Cash for being to give a counter argument to see if increasing the up being good for and And if it up being the because of this who everyone holding during the time of the fork an equal amount of Cash and if they don t then that is on them Not sure why it took me to have this but I did and to share What are your on Cash,1
this is a huge step for in Hope the rest of the EU this soon,1
the can t even work correctly,-1
mining energy and zero From an energy perspective there is no difference between a miner and any other server in a consume energy and produce zero also Some people choose to mine in the same way some people choose to put up every year consume more energy than the entire network but we don t read about environmental concern around,1
The narrative of constantly based on what the need to push They basically repeated the phrase over and over similar to propaganda First it was a medium exchange Then they found out it was too slow and costly to be a medium of exchange Then it was an anonymous currency came up with ways to track it and to record about their Then it was an uncorrelated asset That t work out because it is highly correlated to the Now it is digital gold a store of value and an inflation hedge That t panning out either I don t think anyone is,-1
LUNA is a scam too The guy is a dark swindler who is still trying to loot the public for a nd time The governance and vesting schedule of LUNA fine print a parachute for s and Do himself He will make money to the bank again as he people alive the second time Do not fall into his trap it s a gambler s den and due to loss will only make you take more irrational that t good for the mind or the soul The gig is over Cut your like a diseased limb live out with pride that you the loss are expensive in life but if you are learning or trying to help people all that effort that never be considered waste because you are giving yourself or the more unfortunate people in the world around you a second chance For any to them are just like the flow of the river They assume no risk if the underlying economics is bad and only interested in as they sell garbage to willing at the current market price which is never fair ever because it is subject to change fixing or manipulation That s how are made It s a wealth redistribution scheme and at its worst is printing money out of thin air,-1
Yeah and will sustain for future more will join when they will discover the more way for making Money which adopt technology first will make the best use of their technology,1
The and ecosystem of make it the one for me It just like the community of will not let it fail and it s very easily adaptable,1
Beating inflation with,1
Honestly people who support this coin are The whole discord of people constantly talking about Luna in some weird times right now,-1
I dont see why you would not sell your luna now People got a chance to sell at instead of so obviously they will take it,-1
This Constitution can only end in despotism when the people shall become so corrupted as to need despotic government being incapable of any other B Franklin is our one chance to sperate money and state if you re reading this you are the resistance Don t it up,1
of people around the world who don t have access to bank account a way to store spend and grow their wealth over time As I gains adoption it will become less volatile due to the market cap and trading volume If you look around the world today and don t think there is a huge need for and incorruptible money then I m sure we disagree on a lot more then just,1
Well it at its original purpose so people have to assign other to it over the Current narrative is inflation hedge but I guess it may be time to put that one to bed,-1
k incoming get ready,1
Its digital by massive of,-1
t safe,-1
Setting higher since going down since We re holding up way better than the stock market Plus if we get a good catalyst we could be green soon,1
Wow Tron copied and is now s folly Tron was as a coin by on The founder of Tron to steal like he stole the wrong one this time Whoever triggered UST s death spiral can also trigger one for I am also non stable will be eventually,-1
he realize that wherever community t have his back his will fail over and over again and finally implement burn for I guess,-1
it can t be I was told it was a hedge against inflation Everyone said it was the best store of value At this rate all some people will be able to afford with their are some pretty,-1
What is dead may never die been declared dead like times it always comes back,1
I love me some,1
I don t think is going to work much longer,-1
I don t care for and privacy as I think they represent an easy way for human to operate under the radar,-1
Wow really why supporting a scam,-1
The entire market been and red last few Load up,1
Renewable energy s already being used to mine And even without renewable energy its been proven that consume more energy than in a year,1
I m long on in general because there is a lot of institutional money in it now There s been less retail but there s a lot of big finance money in and in general that I don t think it will completely go to If I had a lot of liquid cash I would splash on some at really low value and hold for the next,1
it can drop another,-1
I am holding some purely as it normally goes up when the rest goes down it is good to diversify your portfolio with you can get interest on I m getting interest at,1
Is it zero If not then its over valued,-1
by an even dip,-1
Just that there are still a ton of degenerate in the space,-1
Stay away from LUNA Scam,-1
was the reason Doge was on a perpetual dip since his appearance,-1
True of and lots of alt But is here to stay A little exposure to it in the portfolio as risk tolerance is good,1
LUNA return of the scam,-1
Totally how I feel should me way more,1
I bought at the at per coin Hold everything and sold it ago and it me to buy a bigger house,1
Literally to zero in real time Luna will be worth less than UST,-1
This is why I love the community it s not just about fiat I hope I be around and alive one day when people will say how much is that in Not in converting into state fiat,1
It won t going to go down forever we all can believe that,1
I buy another worth,1
buy now,1
for Life,1
its a stable coin project which removed the stable coin and tried re obviously its going to,-1
Because there is no intrinsic value It t produce anything,-1
no legitimate competition It s building a highly secure store of value is amazing but there are countless Layer s nipping at its is gold while is the The problem is there are countless additional that want a piece,1
of them are pure garbage DISCUSSION According to Coin Market cap there are out on the world market although Coin Gecko Still that s a No wonder some of my non think is simply a penny stock market Those of us in the space know some project have very good and fail Some succeed Some just out But so many are pure scam and we all know it I guess that is the price of decentralization and I sometimes struggle with this We don t believe in censorship so why would we be in the business of telling new they t because we are already too many in the room Sadly too many people will invest their life in dumb like squid game only to find no liquidity when trying to cash out will simply be rug The worse part is the hit we as and of take as it a bad reputation and a terrible image If and should have a beef with anything about its these shady scam but how to determine a shady scam project until it is officially a scam Many people in the world still say for example is a scam and that s their opinion Many people not in say is a scam Many say is a scam and so on So where do we go from here One critique often use is can t police itself when it comes to these and rug so they need harsh and strict regulation to be enforced and How can police itself when project can t stand each other and all they do is throw each other trash on twitter My hope is that in time as more and more people come in there are better educational for to be aware of what is a fire hazard but I am not optimistic People will do what they want to do in of a moon shot and some shady know this so I imagine that number I in the title will likely reach or by the time is over,-1
People are all over the world every day It t matter if of it is as an investment There s a ton more than there were before is used as intended it s used freely and getting more popular by the day,1
Whenever I feel stupid and incapable of doing anything in life I just take a look into the space,-1
Ask tech people what they think of the vast majority of in both technology and finance recognize is a scam But hey a few ex car and that routinely get in trouble with the SEC for fraud they know what they re talking about right,-1
Yep this is the time to accumulate the big It s all and for me for a while,1
I keep telling everybody every single day of the week that Polygon and are a match made in heaven Nothing is going to be stopping this duo Mass adoption is coming slowly but surely,1
is awful this post is cope,-1
is the future People FUD because they the boat or want to buy in cheap,1
is a fad underlying value is zero and it on greater fool theory to grow You can get lucky while the bubble is growing but most people who are getting into now will loose money,-1
